County,State,Count,Critical,High,Low,Medium,tooltip
Maricopa,Arizona,6959,183,833,242,5701,"County: Maricopa, Arizona<br>Total Accidents: 6959<br>Critical: 183<br>High: 833<br>Medium: 5701<br>Low: 242"
Maries,Missouri,1,1,0,0,0,"County: Maries, Missouri<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Marin,California,827,7,40,13,767,"County: Marin, California<br>Total Accidents: 827<br>Critical: 7<br>High: 40<br>Medium: 767<br>Low: 13"
Marinette,Wisconsin,2,2,0,0,0,"County: Marinette, Wisconsin<br>Total Accidents: 2<br>Critical: 2<br>High: 0<br>Medium: 0<br>Low: 0"
Marion,Alabama,15,0,2,0,13,"County: Marion, Alabama<br>Total Accidents: 15<br>Critical: 0<br>High: 2<br>Medium: 13<br>Low: 0"
Marion,Florida,861,12,63,4,782,"County: Marion, Florida<br>Total Accidents: 861<br>Critical: 12<br>High: 63<br>Medium: 782<br>Low: 4"
Marion,Georgia,1,1,0,0,0,"County: Marion, Georgia<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Marion,Illinois,7,0,6,0,1,"County: Marion, Illinois<br>Total Accidents: 7<br>Critical: 0<br>High: 6<br>Medium: 1<br>Low: 0"
Marion,Indiana,2105,22,577,12,1494,"County: Marion, Indiana<br>Total Accidents: 2105<br>Critical: 22<br>High: 577<br>Medium: 1494<br>Low: 12"
Marion,Iowa,1,0,0,0,1,"County: Marion, Iowa<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Marion,Missouri,2,0,0,0,2,"County: Marion, Missouri<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
Marion,Ohio,7,2,0,0,5,"County: Marion, Ohio<br>Total Accidents: 7<br>Critical: 2<br>High: 0<br>Medium: 5<br>Low: 0"
Marion,Oregon,644,20,53,4,567,"County: Marion, Oregon<br>Total Accidents: 644<br>Critical: 20<br>High: 53<br>Medium: 567<br>Low: 4"
Marion,South Carolina,93,0,1,0,92,"County: Marion, South Carolina<br>Total Accidents: 93<br>Critical: 0<br>High: 1<br>Medium: 92<br>Low: 0"
Marion,Tennessee,64,4,10,0,50,"County: Marion, Tennessee<br>Total Accidents: 64<br>Critical: 4<br>High: 10<br>Medium: 50<br>Low: 0"
Marion,Texas,3,1,0,0,2,"County: Marion, Texas<br>Total Accidents: 3<br>Critical: 1<br>High: 0<br>Medium: 2<br>Low: 0"
Marion,West Virginia,24,1,0,0,23,"County: Marion, West Virginia<br>Total Accidents: 24<br>Critical: 1<br>High: 0<br>Medium: 23<br>Low: 0"
Mariposa,California,114,0,1,0,113,"County: Mariposa, California<br>Total Accidents: 114<br>Critical: 0<br>High: 1<br>Medium: 113<br>Low: 0"
Marlboro,South Carolina,118,0,0,4,114,"County: Marlboro, South Carolina<br>Total Accidents: 118<br>Critical: 0<br>High: 0<br>Medium: 114<br>Low: 4"
Marquette,Michigan,2,2,0,0,0,"County: Marquette, Michigan<br>Total Accidents: 2<br>Critical: 2<br>High: 0<br>Medium: 0<br>Low: 0"
Marquette,Wisconsin,4,1,0,0,3,"County: Marquette, Wisconsin<br>Total Accidents: 4<br>Critical: 1<br>High: 0<br>Medium: 3<br>Low: 0"
Marshall,Alabama,9,2,0,0,7,"County: Marshall, Alabama<br>Total Accidents: 9<br>Critical: 2<br>High: 0<br>Medium: 7<br>Low: 0"
Marshall,Illinois,1,0,1,0,0,"County: Marshall, Illinois<br>Total Accidents: 1<br>Critical: 0<br>High: 1<br>Medium: 0<br>Low: 0"
Marshall,Indiana,10,2,0,0,8,"County: Marshall, Indiana<br>Total Accidents: 10<br>Critical: 2<br>High: 0<br>Medium: 8<br>Low: 0"
Marshall,Iowa,9,3,1,0,5,"County: Marshall, Iowa<br>Total Accidents: 9<br>Critical: 3<br>High: 1<br>Medium: 5<br>Low: 0"
Marshall,Kentucky,1,0,1,0,0,"County: Marshall, Kentucky<br>Total Accidents: 1<br>Critical: 0<br>High: 1<br>Medium: 0<br>Low: 0"
Marshall,Minnesota,1,0,0,0,1,"County: Marshall, Minnesota<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Marshall,Mississippi,12,1,1,0,10,"County: Marshall, Mississippi<br>Total Accidents: 12<br>Critical: 1<br>High: 1<br>Medium: 10<br>Low: 0"
Marshall,Tennessee,6,1,0,0,5,"County: Marshall, Tennessee<br>Total Accidents: 6<br>Critical: 1<br>High: 0<br>Medium: 5<br>Low: 0"
Marshall,West Virginia,1,0,0,0,1,"County: Marshall, West Virginia<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Martin,Florida,191,7,22,0,162,"County: Martin, Florida<br>Total Accidents: 191<br>Critical: 7<br>High: 22<br>Medium: 162<br>Low: 0"
Martin,Indiana,8,2,0,0,6,"County: Martin, Indiana<br>Total Accidents: 8<br>Critical: 2<br>High: 0<br>Medium: 6<br>Low: 0"
Martin,Minnesota,52,0,1,0,51,"County: Martin, Minnesota<br>Total Accidents: 52<br>Critical: 0<br>High: 1<br>Medium: 51<br>Low: 0"
Martin,North Carolina,6,1,0,0,5,"County: Martin, North Carolina<br>Total Accidents: 6<br>Critical: 1<br>High: 0<br>Medium: 5<br>Low: 0"
Martin,Texas,4,0,1,0,3,"County: Martin, Texas<br>Total Accidents: 4<br>Critical: 0<br>High: 1<br>Medium: 3<br>Low: 0"
Mason,Michigan,2,2,0,0,0,"County: Mason, Michigan<br>Total Accidents: 2<br>Critical: 2<br>High: 0<br>Medium: 0<br>Low: 0"
Mason,Washington,39,3,4,0,32,"County: Mason, Washington<br>Total Accidents: 39<br>Critical: 3<br>High: 4<br>Medium: 32<br>Low: 0"
Mason,West Virginia,1,0,0,0,1,"County: Mason, West Virginia<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Massac,Illinois,4,0,4,0,0,"County: Massac, Illinois<br>Total Accidents: 4<br>Critical: 0<br>High: 4<br>Medium: 0<br>Low: 0"
Mathews,Virginia,7,0,0,0,7,"County: Mathews, Virginia<br>Total Accidents: 7<br>Critical: 0<br>High: 0<br>Medium: 7<br>Low: 0"
Maury,Tennessee,10,4,0,0,6,"County: Maury, Tennessee<br>Total Accidents: 10<br>Critical: 4<br>High: 0<br>Medium: 6<br>Low: 0"
Maverick,Texas,3,2,0,0,1,"County: Maverick, Texas<br>Total Accidents: 3<br>Critical: 2<br>High: 0<br>Medium: 1<br>Low: 0"
McClain,Oklahoma,9,0,4,0,5,"County: McClain, Oklahoma<br>Total Accidents: 9<br>Critical: 0<br>High: 4<br>Medium: 5<br>Low: 0"
McCone,Montana,2,0,0,0,2,"County: McCone, Montana<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
McCormick,South Carolina,34,0,0,1,33,"County: McCormick, South Carolina<br>Total Accidents: 34<br>Critical: 0<br>High: 0<br>Medium: 33<br>Low: 1"
McCracken,Kentucky,2,0,0,0,2,"County: McCracken, Kentucky<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
McCreary,Kentucky,1,0,0,0,1,"County: McCreary, Kentucky<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
McDonald,Missouri,3,1,0,0,2,"County: McDonald, Missouri<br>Total Accidents: 3<br>Critical: 1<br>High: 0<br>Medium: 2<br>Low: 0"
McDonough,Illinois,1,0,1,0,0,"County: McDonough, Illinois<br>Total Accidents: 1<br>Critical: 0<br>High: 1<br>Medium: 0<br>Low: 0"
McDowell,North Carolina,49,4,5,1,39,"County: McDowell, North Carolina<br>Total Accidents: 49<br>Critical: 4<br>High: 5<br>Medium: 39<br>Low: 1"
McDowell,West Virginia,1,1,0,0,0,"County: McDowell, West Virginia<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
McDuffie,Georgia,20,3,9,0,8,"County: McDuffie, Georgia<br>Total Accidents: 20<br>Critical: 3<br>High: 9<br>Medium: 8<br>Low: 0"
McHenry,Illinois,45,1,5,1,38,"County: McHenry, Illinois<br>Total Accidents: 45<br>Critical: 1<br>High: 5<br>Medium: 38<br>Low: 1"
McHenry,North Dakota,8,0,0,0,8,"County: McHenry, North Dakota<br>Total Accidents: 8<br>Critical: 0<br>High: 0<br>Medium: 8<br>Low: 0"
McIntosh,Georgia,17,3,3,1,10,"County: McIntosh, Georgia<br>Total Accidents: 17<br>Critical: 3<br>High: 3<br>Medium: 10<br>Low: 1"
McIntosh,Oklahoma,1,0,0,0,1,"County: McIntosh, Oklahoma<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
McKean,Pennsylvania,103,6,0,0,97,"County: McKean, Pennsylvania<br>Total Accidents: 103<br>Critical: 6<br>High: 0<br>Medium: 97<br>Low: 0"
McKenzie,North Dakota,16,0,0,0,16,"County: McKenzie, North Dakota<br>Total Accidents: 16<br>Critical: 0<br>High: 0<br>Medium: 16<br>Low: 0"
McKinley,New Mexico,25,2,6,0,17,"County: McKinley, New Mexico<br>Total Accidents: 25<br>Critical: 2<br>High: 6<br>Medium: 17<br>Low: 0"
McLean,Illinois,24,2,17,0,5,"County: McLean, Illinois<br>Total Accidents: 24<br>Critical: 2<br>High: 17<br>Medium: 5<br>Low: 0"
McLennan,Texas,29,0,14,0,15,"County: McLennan, Texas<br>Total Accidents: 29<br>Critical: 0<br>High: 14<br>Medium: 15<br>Low: 0"
McLeod,Minnesota,54,0,0,0,54,"County: McLeod, Minnesota<br>Total Accidents: 54<br>Critical: 0<br>High: 0<br>Medium: 54<br>Low: 0"
McMinn,Tennessee,49,4,17,1,27,"County: McMinn, Tennessee<br>Total Accidents: 49<br>Critical: 4<br>High: 17<br>Medium: 27<br>Low: 1"
Mccormick,South Carolina,2,0,0,0,2,"County: Mccormick, South Carolina<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
Mchenry,Illinois,9,3,3,0,3,"County: Mchenry, Illinois<br>Total Accidents: 9<br>Critical: 3<br>High: 3<br>Medium: 3<br>Low: 0"
Mckean,Pennsylvania,1,0,0,0,1,"County: Mckean, Pennsylvania<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Mcleod,Minnesota,1,0,0,0,1,"County: Mcleod, Minnesota<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Mcminn,Tennessee,1,1,0,0,0,"County: Mcminn, Tennessee<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Meade,Kansas,1,0,0,0,1,"County: Meade, Kansas<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Meagher,Montana,2,0,0,0,2,"County: Meagher, Montana<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
Mecklenburg,North Carolina,9428,48,520,168,8692,"County: Mecklenburg, North Carolina<br>Total Accidents: 9428<br>Critical: 48<br>High: 520<br>Medium: 8692<br>Low: 168"
Mecklenburg,Virginia,83,13,8,0,62,"County: Mecklenburg, Virginia<br>Total Accidents: 83<br>Critical: 13<br>High: 8<br>Medium: 62<br>Low: 0"
Mecosta,Michigan,1,0,0,0,1,"County: Mecosta, Michigan<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Medina,Ohio,33,2,8,2,21,"County: Medina, Ohio<br>Total Accidents: 33<br>Critical: 2<br>High: 8<br>Medium: 21<br>Low: 2"
Medina,Texas,3,1,0,0,2,"County: Medina, Texas<br>Total Accidents: 3<br>Critical: 1<br>High: 0<br>Medium: 2<br>Low: 0"
Meeker,Minnesota,46,0,0,0,46,"County: Meeker, Minnesota<br>Total Accidents: 46<br>Critical: 0<br>High: 0<br>Medium: 46<br>Low: 0"
Meigs,Ohio,6,1,0,0,5,"County: Meigs, Ohio<br>Total Accidents: 6<br>Critical: 1<br>High: 0<br>Medium: 5<br>Low: 0"
Meigs,Tennessee,4,0,0,0,4,"County: Meigs, Tennessee<br>Total Accidents: 4<br>Critical: 0<br>High: 0<br>Medium: 4<br>Low: 0"
Mendocino,California,469,5,2,1,461,"County: Mendocino, California<br>Total Accidents: 469<br>Critical: 5<br>High: 2<br>Medium: 461<br>Low: 1"
Merced,California,808,5,18,8,777,"County: Merced, California<br>Total Accidents: 808<br>Critical: 5<br>High: 18<br>Medium: 777<br>Low: 8"
Mercer,New Jersey,419,15,97,3,304,"County: Mercer, New Jersey<br>Total Accidents: 419<br>Critical: 15<br>High: 97<br>Medium: 304<br>Low: 3"
Mercer,Ohio,2,0,0,0,2,"County: Mercer, Ohio<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
Mercer,Pennsylvania,28,3,4,0,21,"County: Mercer, Pennsylvania<br>Total Accidents: 28<br>Critical: 3<br>High: 4<br>Medium: 21<br>Low: 0"
Mercer,West Virginia,33,3,0,0,30,"County: Mercer, West Virginia<br>Total Accidents: 33<br>Critical: 3<br>High: 0<br>Medium: 30<br>Low: 0"
Meriwether,Georgia,19,4,2,0,13,"County: Meriwether, Georgia<br>Total Accidents: 19<br>Critical: 4<br>High: 2<br>Medium: 13<br>Low: 0"
Merrimack,New Hampshire,138,4,53,0,81,"County: Merrimack, New Hampshire<br>Total Accidents: 138<br>Critical: 4<br>High: 53<br>Medium: 81<br>Low: 0"
Mesa,Colorado,55,8,7,0,40,"County: Mesa, Colorado<br>Total Accidents: 55<br>Critical: 8<br>High: 7<br>Medium: 40<br>Low: 0"
Metcalfe,Kentucky,1,0,0,0,1,"County: Metcalfe, Kentucky<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Miami,Indiana,3,2,0,0,1,"County: Miami, Indiana<br>Total Accidents: 3<br>Critical: 2<br>High: 0<br>Medium: 1<br>Low: 0"
Miami,Kansas,7,1,0,0,6,"County: Miami, Kansas<br>Total Accidents: 7<br>Critical: 1<br>High: 0<br>Medium: 6<br>Low: 0"
Miami,Ohio,34,2,13,0,19,"County: Miami, Ohio<br>Total Accidents: 34<br>Critical: 2<br>High: 13<br>Medium: 19<br>Low: 0"
Miami-Dade,Florida,16248,177,1146,15,14910,"County: Miami-Dade, Florida<br>Total Accidents: 16248<br>Critical: 177<br>High: 1146<br>Medium: 14910<br>Low: 15"
Middlesex,Connecticut,197,18,43,0,136,"County: Middlesex, Connecticut<br>Total Accidents: 197<br>Critical: 18<br>High: 43<br>Medium: 136<br>Low: 0"
Middlesex,Massachusetts,1238,5,422,17,794,"County: Middlesex, Massachusetts<br>Total Accidents: 1238<br>Critical: 5<br>High: 422<br>Medium: 794<br>Low: 17"
Middlesex,New Jersey,996,32,153,1,810,"County: Middlesex, New Jersey<br>Total Accidents: 996<br>Critical: 32<br>High: 153<br>Medium: 810<br>Low: 1"
Middlesex,Virginia,22,6,2,0,14,"County: Middlesex, Virginia<br>Total Accidents: 22<br>Critical: 6<br>High: 2<br>Medium: 14<br>Low: 0"
Midland,Michigan,13,6,0,0,7,"County: Midland, Michigan<br>Total Accidents: 13<br>Critical: 6<br>High: 0<br>Medium: 7<br>Low: 0"
Midland,Texas,8,1,2,0,5,"County: Midland, Texas<br>Total Accidents: 8<br>Critical: 1<br>High: 2<br>Medium: 5<br>Low: 0"
Mifflin,Pennsylvania,94,5,1,0,88,"County: Mifflin, Pennsylvania<br>Total Accidents: 94<br>Critical: 5<br>High: 1<br>Medium: 88<br>Low: 0"
Milam,Texas,3,0,0,0,3,"County: Milam, Texas<br>Total Accidents: 3<br>Critical: 0<br>High: 0<br>Medium: 3<br>Low: 0"
Millard,Utah,91,3,18,0,70,"County: Millard, Utah<br>Total Accidents: 91<br>Critical: 3<br>High: 18<br>Medium: 70<br>Low: 0"
Mille Lacs,Minnesota,39,0,0,0,39,"County: Mille Lacs, Minnesota<br>Total Accidents: 39<br>Critical: 0<br>High: 0<br>Medium: 39<br>Low: 0"
Miller,Arkansas,16,3,1,0,12,"County: Miller, Arkansas<br>Total Accidents: 16<br>Critical: 3<br>High: 1<br>Medium: 12<br>Low: 0"
Miller,Georgia,1,0,0,0,1,"County: Miller, Georgia<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Miller,Missouri,4,2,0,0,2,"County: Miller, Missouri<br>Total Accidents: 4<br>Critical: 2<br>High: 0<br>Medium: 2<br>Low: 0"
Mills,Iowa,11,1,5,0,5,"County: Mills, Iowa<br>Total Accidents: 11<br>Critical: 1<br>High: 5<br>Medium: 5<br>Low: 0"
Mills,Texas,1,0,0,0,1,"County: Mills, Texas<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Milwaukee,Wisconsin,931,30,326,3,572,"County: Milwaukee, Wisconsin<br>Total Accidents: 931<br>Critical: 30<br>High: 326<br>Medium: 572<br>Low: 3"
Mineral,Colorado,8,2,1,0,5,"County: Mineral, Colorado<br>Total Accidents: 8<br>Critical: 2<br>High: 1<br>Medium: 5<br>Low: 0"
Mineral,Montana,98,3,0,0,95,"County: Mineral, Montana<br>Total Accidents: 98<br>Critical: 3<br>High: 0<br>Medium: 95<br>Low: 0"
Mineral,Nevada,12,0,0,0,12,"County: Mineral, Nevada<br>Total Accidents: 12<br>Critical: 0<br>High: 0<br>Medium: 12<br>Low: 0"
Mingo,West Virginia,1,0,0,0,1,"County: Mingo, West Virginia<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Minidoka,Idaho,2,0,0,0,2,"County: Minidoka, Idaho<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
Minnehaha,South Dakota,10,0,0,0,10,"County: Minnehaha, South Dakota<br>Total Accidents: 10<br>Critical: 0<br>High: 0<br>Medium: 10<br>Low: 0"
Mississippi,Arkansas,21,6,0,0,15,"County: Mississippi, Arkansas<br>Total Accidents: 21<br>Critical: 6<br>High: 0<br>Medium: 15<br>Low: 0"
Missoula,Montana,170,1,3,0,166,"County: Missoula, Montana<br>Total Accidents: 170<br>Critical: 1<br>High: 3<br>Medium: 166<br>Low: 0"
Mitchell,Georgia,11,2,0,0,9,"County: Mitchell, Georgia<br>Total Accidents: 11<br>Critical: 2<br>High: 0<br>Medium: 9<br>Low: 0"
Mitchell,Iowa,1,1,0,0,0,"County: Mitchell, Iowa<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Mitchell,North Carolina,4,0,0,0,4,"County: Mitchell, North Carolina<br>Total Accidents: 4<br>Critical: 0<br>High: 0<br>Medium: 4<br>Low: 0"
Mitchell,Texas,6,0,4,0,2,"County: Mitchell, Texas<br>Total Accidents: 6<br>Critical: 0<br>High: 4<br>Medium: 2<br>Low: 0"
Mobile,Alabama,579,9,206,2,362,"County: Mobile, Alabama<br>Total Accidents: 579<br>Critical: 9<br>High: 206<br>Medium: 362<br>Low: 2"
Modoc,California,39,0,0,0,39,"County: Modoc, California<br>Total Accidents: 39<br>Critical: 0<br>High: 0<br>Medium: 39<br>Low: 0"
Moffat,Colorado,6,3,0,0,3,"County: Moffat, Colorado<br>Total Accidents: 6<br>Critical: 3<br>High: 0<br>Medium: 3<br>Low: 0"
Mohave,Arizona,170,13,12,0,145,"County: Mohave, Arizona<br>Total Accidents: 170<br>Critical: 13<br>High: 12<br>Medium: 145<br>Low: 0"
Moniteau,Missouri,1,1,0,0,0,"County: Moniteau, Missouri<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Monmouth,New Jersey,383,30,25,0,328,"County: Monmouth, New Jersey<br>Total Accidents: 383<br>Critical: 30<br>High: 25<br>Medium: 328<br>Low: 0"
Mono,California,133,3,2,1,127,"County: Mono, California<br>Total Accidents: 133<br>Critical: 3<br>High: 2<br>Medium: 127<br>Low: 1"
Monona,Iowa,2,0,0,0,2,"County: Monona, Iowa<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
Monongalia,West Virginia,33,0,0,0,33,"County: Monongalia, West Virginia<br>Total Accidents: 33<br>Critical: 0<br>High: 0<br>Medium: 33<br>Low: 0"
Monroe,Alabama,1,1,0,0,0,"County: Monroe, Alabama<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Monroe,Arkansas,13,1,1,0,11,"County: Monroe, Arkansas<br>Total Accidents: 13<br>Critical: 1<br>High: 1<br>Medium: 11<br>Low: 0"
Monroe,Florida,106,18,2,0,86,"County: Monroe, Florida<br>Total Accidents: 106<br>Critical: 18<br>High: 2<br>Medium: 86<br>Low: 0"
Monroe,Georgia,65,6,24,0,35,"County: Monroe, Georgia<br>Total Accidents: 65<br>Critical: 6<br>High: 24<br>Medium: 35<br>Low: 0"
Monroe,Illinois,4,0,3,0,1,"County: Monroe, Illinois<br>Total Accidents: 4<br>Critical: 0<br>High: 3<br>Medium: 1<br>Low: 0"
Monroe,Indiana,11,3,0,0,8,"County: Monroe, Indiana<br>Total Accidents: 11<br>Critical: 3<br>High: 0<br>Medium: 8<br>Low: 0"
Monroe,Iowa,2,0,0,0,2,"County: Monroe, Iowa<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
Monroe,Michigan,129,31,22,0,76,"County: Monroe, Michigan<br>Total Accidents: 129<br>Critical: 31<br>High: 22<br>Medium: 76<br>Low: 0"
Monroe,Mississippi,1,0,0,0,1,"County: Monroe, Mississippi<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Monroe,New York,2135,18,188,10,1919,"County: Monroe, New York<br>Total Accidents: 2135<br>Critical: 18<br>High: 188<br>Medium: 1919<br>Low: 10"
Monroe,Ohio,1,0,0,0,1,"County: Monroe, Ohio<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Monroe,Pennsylvania,127,14,27,0,86,"County: Monroe, Pennsylvania<br>Total Accidents: 127<br>Critical: 14<br>High: 27<br>Medium: 86<br>Low: 0"
Monroe,Tennessee,10,0,3,0,7,"County: Monroe, Tennessee<br>Total Accidents: 10<br>Critical: 0<br>High: 3<br>Medium: 7<br>Low: 0"
Monroe,Wisconsin,19,3,3,0,13,"County: Monroe, Wisconsin<br>Total Accidents: 19<br>Critical: 3<br>High: 3<br>Medium: 13<br>Low: 0"
Montague,Texas,3,0,1,0,2,"County: Montague, Texas<br>Total Accidents: 3<br>Critical: 0<br>High: 1<br>Medium: 2<br>Low: 0"
Montcalm,Michigan,6,4,0,0,2,"County: Montcalm, Michigan<br>Total Accidents: 6<br>Critical: 4<br>High: 0<br>Medium: 2<br>Low: 0"
Monterey,California,1198,9,8,24,1157,"County: Monterey, California<br>Total Accidents: 1198<br>Critical: 9<br>High: 8<br>Medium: 1157<br>Low: 24"
Montezuma,Colorado,4,0,0,0,4,"County: Montezuma, Colorado<br>Total Accidents: 4<br>Critical: 0<br>High: 0<br>Medium: 4<br>Low: 0"
Montgomery,Alabama,721,6,139,6,570,"County: Montgomery, Alabama<br>Total Accidents: 721<br>Critical: 6<br>High: 139<br>Medium: 570<br>Low: 6"
Montgomery,Arkansas,5,4,0,0,1,"County: Montgomery, Arkansas<br>Total Accidents: 5<br>Critical: 4<br>High: 0<br>Medium: 1<br>Low: 0"
Montgomery,Georgia,3,1,0,0,2,"County: Montgomery, Georgia<br>Total Accidents: 3<br>Critical: 1<br>High: 0<br>Medium: 2<br>Low: 0"
Montgomery,Illinois,11,1,9,0,1,"County: Montgomery, Illinois<br>Total Accidents: 11<br>Critical: 1<br>High: 9<br>Medium: 1<br>Low: 0"
Montgomery,Indiana,20,5,0,0,15,"County: Montgomery, Indiana<br>Total Accidents: 20<br>Critical: 5<br>High: 0<br>Medium: 15<br>Low: 0"
Montgomery,Kansas,1,1,0,0,0,"County: Montgomery, Kansas<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Montgomery,Maryland,1427,74,291,5,1057,"County: Montgomery, Maryland<br>Total Accidents: 1427<br>Critical: 74<br>High: 291<br>Medium: 1057<br>Low: 5"
Montgomery,Mississippi,1,0,0,0,1,"County: Montgomery, Mississippi<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Montgomery,Missouri,18,1,2,0,15,"County: Montgomery, Missouri<br>Total Accidents: 18<br>Critical: 1<br>High: 2<br>Medium: 15<br>Low: 0"
Montgomery,New York,67,5,13,1,48,"County: Montgomery, New York<br>Total Accidents: 67<br>Critical: 5<br>High: 13<br>Medium: 48<br>Low: 1"
Montgomery,North Carolina,11,1,1,0,9,"County: Montgomery, North Carolina<br>Total Accidents: 11<br>Critical: 1<br>High: 1<br>Medium: 9<br>Low: 0"
Montgomery,Ohio,1721,18,183,34,1486,"County: Montgomery, Ohio<br>Total Accidents: 1721<br>Critical: 18<br>High: 183<br>Medium: 1486<br>Low: 34"
Montgomery,Pennsylvania,4491,42,264,25,4160,"County: Montgomery, Pennsylvania<br>Total Accidents: 4491<br>Critical: 42<br>High: 264<br>Medium: 4160<br>Low: 25"
Montgomery,Tennessee,29,9,7,1,12,"County: Montgomery, Tennessee<br>Total Accidents: 29<br>Critical: 9<br>High: 7<br>Medium: 12<br>Low: 1"
Montgomery,Texas,172,5,84,3,80,"County: Montgomery, Texas<br>Total Accidents: 172<br>Critical: 5<br>High: 84<br>Medium: 80<br>Low: 3"
Montgomery,Virginia,121,8,26,0,87,"County: Montgomery, Virginia<br>Total Accidents: 121<br>Critical: 8<br>High: 26<br>Medium: 87<br>Low: 0"
Montour,Pennsylvania,36,5,1,0,30,"County: Montour, Pennsylvania<br>Total Accidents: 36<br>Critical: 5<br>High: 1<br>Medium: 30<br>Low: 0"
Montrose,Colorado,4,2,1,0,1,"County: Montrose, Colorado<br>Total Accidents: 4<br>Critical: 2<br>High: 1<br>Medium: 1<br>Low: 0"
Moore,North Carolina,38,3,0,1,34,"County: Moore, North Carolina<br>Total Accidents: 38<br>Critical: 3<br>High: 0<br>Medium: 34<br>Low: 1"
Mora,New Mexico,4,1,2,0,1,"County: Mora, New Mexico<br>Total Accidents: 4<br>Critical: 1<br>High: 2<br>Medium: 1<br>Low: 0"
Morgan,Alabama,120,2,13,0,105,"County: Morgan, Alabama<br>Total Accidents: 120<br>Critical: 2<br>High: 13<br>Medium: 105<br>Low: 0"
Morgan,Colorado,35,11,5,0,19,"County: Morgan, Colorado<br>Total Accidents: 35<br>Critical: 11<br>High: 5<br>Medium: 19<br>Low: 0"
Morgan,Georgia,33,10,8,0,15,"County: Morgan, Georgia<br>Total Accidents: 33<br>Critical: 10<br>High: 8<br>Medium: 15<br>Low: 0"
Morgan,Illinois,3,1,1,0,1,"County: Morgan, Illinois<br>Total Accidents: 3<br>Critical: 1<br>High: 1<br>Medium: 1<br>Low: 0"
Morgan,Indiana,23,6,2,0,15,"County: Morgan, Indiana<br>Total Accidents: 23<br>Critical: 6<br>High: 2<br>Medium: 15<br>Low: 0"
Morgan,Missouri,1,0,0,0,1,"County: Morgan, Missouri<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Morgan,Ohio,1,1,0,0,0,"County: Morgan, Ohio<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
